ray_id,step,x,y,r,phi,dr,dphi,E,L
1,16,-99949035019.2095,-38888888786.62079,107248101485.89731,-2.7705291288936196,-279392572.3136393,0.001013600956764677,297455535.9427231,1.1658595588888881e+19
2,16,-99949035123.71805,-27777777733.764206,103737238048.77702,-2.870514313399768,-288846784.51758015,0.0007738358403446036,298477321.29879993,8.327568277777781e+18
3,16,-99949035218.00616,-16666666655.975864,101329104498.32098,-2.9763612896849057,-295710147.89977324,0.00048663242522749154,299285164.6648196,4.996540966666673e+18
4,16,-99949035274.56721,-5555555555.134703,100103315878.36075,-3.086065907382474,-299330503.0100536,0.00016620775014862662,299734041.88516045,1.66551365555556e+18
5,16,-99949035274.56721,5555555555.134703,100103315878.36075,3.086065907382474,-299330503.0100536,-0.00016620775014862662,299734041.88516045,-1.66551365555556e+18
6,16,-99949035218.00616,16666666655.975864,101329104498.32098,2.9763612896849057,-295710147.89977324,-0.00048663242522749154,299285164.6648196,-4.996540966666673e+18
7,16,-99949035123.71805,27777777733.764206,103737238048.77702,2.870514313399768,-288846784.51758015,-0.0007738358403446036,298477321.29879993,-8.327568277777781e+18
8,16,-99949035019.2095,38888888786.62079,107248101485.89731,2.7705291288936196,-279392572.3136393,-0.001013600956764677,297455535.9427231,-1.1658595588888881e+19
9,16,-99949034928.35526,49999999823.07766,111757816574.13205,2.6777411025691116,-268119832.62604836,-0.0012001482345659071,296371855.54086864,-1.4989622900000004e+19
0,17,-99946036960.91745,-49999999801.643166,111755135382.4843,-2.67772910079883,-268118496.9106284,0.0012002058223628722,296371855.54086864,1.4989622900000004e+19
1,17,-99946037062.77687,-38888888774.23041,107245307564.7062,-2.7705189926199916,-279391665.8966303,0.0010136537694824526,297455535.9427231,1.1658595588888881e+19
2,17,-99946037179.94553,-27777777728.431557,103734349583.46826,-2.870506574825891,-288846277.22746485,0.0007738789355991232,298477321.29879993,8.327568277777781e+18
3,17,-99946037285.65631,-16666666654.680534,101326147397.81653,-2.976356423218635,-295709952.9885771,0.0004866608293862455,299285164.6648196,4.996540966666673e+18
4,17,-99946037349.06978,-5555555555.083706,100100322573.44264,-3.0860642452552716,-299330480.6114569,0.0001662176905344655,299734041.88516045,1.66551365555556e+18
5,17,-99946037349.06978,5555555555.083706,100100322573.44264,3.0860642452552716,-299330480.6114569,-0.0001662176905344655,299734041.88516045,-1.66551365555556e+18
6,17,-99946037285.65631,16666666654.680534,101326147397.81653,2.976356423218635,-295709952.9885771,-0.0004866608293862455,299285164.6648196,-4.996540966666673e+18
7,17,-99946037179.94553,27777777728.431557,103734349583.46826,2.870506574825891,-288846277.22746485,-0.0007738789355991232,298477321.29879993,-8.327568277777781e+18
